CódigoIBGE;CódigoMunicípio;Município;Estado;Regiao;Ano;PopTotalAgua;PopTotalEsgotamento;VolumeAguaProduzido;VolumeAguaConsumido;ConsumoAguaPercapita;ConsumoEnergiaEletrica;ConsumoEnergiaPercapita;InvestimentoTotalEstado;InvestimentoPercapita;QuantidadeParalizacoes;DuracaoParalizacoes;QuantidadeReclamacoes
1200013;120001;Acrelândia;AC;N;2019;15256;;939.81;253.87;0.02;424.4;0.03;175307.55;11.49;0;0;568
1200054;120005;Assis Brasil;AC;N;2019;7417;;662.28;330.32;0.04;376.04;0.05;84980.97;11.46;12;225;515
1200104;120010;Brasiléia;AC;N;2019;26278;;2712.12;826.2;0.03;892.49;0.03;297693.89;11.33;15;210;1059
1200138;120013;Bujari;AC;N;2019;10266;;511.8;260.49;0.03;570.59;0.06;0;0;5;76;177
1200179;120017;Capixaba;AC;N;2019;11733;;600.49;244.71;0.02;218.14;0.02;0;0;276;2608;235
1200203;120020;Cruzeiro do Sul;AC;N;2019;88376;;6883.86;2026.6;0.02;5249.4;0.06;0;0;6;44;1926
1200252;120025;Epitaciolândia;AC;N;2019;18411;;2220.42;650.36;0.04;882.38;0.05;0;0;20;141;741
1200302;120030;Feijó;AC;N;2019;34780;;971.86;314.41;0.01;450.21;0.01;0;0;55;773;722
1200328;120032;Jordão;AC;N;2019;8317;;330.01;149.23;0.02;160.09;0.02;3029108.4;364.21;0;0;117
1200336;120033;Mâncio Lima;AC;N;2019;18977;;1148.29;650.32;0.03;795.23;0.04;0;0;0;0;974
1200344;120034;Manoel Urbano;AC;N;2019;9459;;862.65;392.53;0.04;353.7;0.04;3884.46;0.41;0;0;375
1200351;120035;Marechal Thaumaturgo;AC;N;2019;18867;;336.87;124.44;0.01;200.36;0.01;204301.24;10.83;0;0;606
1200385;120038;Plácido de Castro;AC;N;2019;19761;;804.1;463.17;0.02;262.63;0.01;690342.91;34.93;20;169;556
1200807;120080;Porto Acre;AC;N;2019;18504;;479.98;199.92;0.01;152.46;0.01;2229449.67;120.48;0;0;265
1200393;120039;Porto Walter;AC;N;2019;11982;;320.98;176.13;0.01;328.12;0.03;2419184.62;201.9;4;200;83
1200401;120040;Rio Branco;AC;N;2019;407319;407319;32393.4;13230.7;0.03;28548.08;0.07;6512236.12;15.99;34;228;15364
1200427;120042;Rodrigues Alves;AC;N;2019;18930;;699.87;270.42;0.01;93.17;0;0;0;0;0;141
1200435;120043;Santa Rosa do Purus;AC;N;2019;6540;;351.31;145.52;0.02;231.97;0.04;5328204.87;814.71;0;0;42
1200450;120045;Senador Guiomard;AC;N;2019;23024;;705.3;327.86;0.01;536.46;0.02;0;0;4;35;1951
1200500;120050;Sena Madureira;AC;N;2019;45848;;1798.36;831.96;0.02;1193.13;0.03;236007.19;5.15;8;48;407
1200609;120060;Tarauacá;AC;N;2019;42567;;2923.23;535.3;0.01;1600.66;0.04;0;0;20;160;502
1200708;120070;Xapuri;AC;N;2019;19323;;1158.78;597.4;0.03;420.76;0.02;0;0;17;204;1073
2700102;270010;Água Branca;AL;NE;2019;20196;;28.78;1210.27;0.06;3527.83;0.17;284880.07;14.11;18;131;1318
2700201;270020;Anadia;AL;NE;2019;17545;;1340.83;705.14;0.04;362.21;0.02;0;0;34;475;2715
2700300;270030;Arapiraca;AL;NE;2019;231747;231747;8532.18;7378.2;0.03;35961.99;0.16;4580094.13;19.76;19;382;7504
2700409;270040;Atalaia;AL;NE;2019;;;;;0;;0;;0;;;
2700508;270050;Barra de Santo Antônio;AL;NE;2019;;;;;0;;0;;0;;;
2700607;270060;Barra de São Miguel;AL;NE;2019;8322;8322;2041.78;578.56;0.07;813.27;0.1;0;0;7;105;1368
2700706;270070;Batalha;AL;NE;2019;18232;18232;0;279.71;0.02;2877.86;0.16;0;0;38;445;1080
2700805;270080;Belém;AL;NE;2019;;;;;0;;0;;0;;;
2700904;270090;Belo Monte;AL;NE;2019;6704;;159.62;59.55;0.01;862.4;0.13;0;0;30;259;211
2701001;270100;Boca da Mata;AL;NE;2019;27281;;1230;564.92;0.02;;0;0;0;4;25;1857
2701100;270110;Branquinha;AL;NE;2019;;;;;0;;0;;0;;;
2701209;270120;Cacimbinhas;AL;NE;2019;10858;;0;76.06;0.01;570.16;0.05;0;0;31;387;268
2701308;270130;Cajueiro;AL;NE;2019;21264;21264;1942.6;1586;0.07;425.96;0.02;0;0;35;210;1723
2701357;270135;Campestre;AL;NE;2019;;;;;0;;0;;0;;;
2701407;270140;Campo Alegre;AL;NE;2019;57063;57063;3238.69;1125.54;0.02;3383.59;0.06;0;0;0;0;871
2701506;270150;Campo Grande;AL;NE;2019;9558;;0;237.25;0.02;476.21;0.05;0;0;12;249;9
2701605;270160;Canapi;AL;NE;2019;17722;;0;184.68;0.01;1224.43;0.07;133771.88;7.55;21;955;917
2701704;270170;Capela;AL;NE;2019;17053;17053;782.38;311.14;0.02;456.6;0.03;0;0;29;389;3024
2701803;270180;Carneiros;AL;NE;2019;9081;;0;164.82;0.02;1076.7;0.12;0;0;37;491;165
2701902;270190;Chã Preta;AL;NE;2019;;;;;0;;0;;0;;;
2702009;270200;Coité do Nóia;AL;NE;2019;10693;;0;68.07;0.01;495.08;0.05;0;0;12;249;61
2702108;270210;Colônia Leopoldina;AL;NE;2019;21698;;1009.35;407.51;0.02;290.22;0.01;0;0;0;0;450
2702207;270220;Coqueiro Seco;AL;NE;2019;5845;;350.34;137.66;0.02;154.47;0.03;0;0;2;34;424
2702306;270230;Coruripe;AL;NE;2019;56933;56933;7080.1;7080.1;0.12;15410;0.27;;0;25;600;2445
2702355;270235;Craíbas;AL;NE;2019;24219;;0;432.21;0.02;3212.9;0.13;0;0;7;132;275
2702405;270240;Delmiro Gouveia;AL;NE;2019;52016;;3355.23;2391.7;0.05;8133.17;0.16;1204430.67;23.16;58;352;5420
2702504;270250;Dois Riachos;AL;NE;2019;11075;;0;130.85;0.01;981.35;0.09;0;0;28;384;528
2702553;270255;Estrela de Alagoas;AL;NE;2019;18205;;520.83;278.33;0.02;186.15;0.01;0;0;8;157;2542
2702603;270260;Feira Grande;AL;NE;2019;22166;;0;218.42;0.01;306.1;0.01;0;0;12;249;130
2702702;270270;Feliz Deserto;AL;NE;2019;4754;;216;208.22;0.04;;0;0;0;0;0;32
2702801;270280;Flexeiras;AL;NE;2019;12790;;385.6;216.67;0.02;19.6;0;0;0;5;86;215
2702900;270290;Girau do Ponciano;AL;NE;2019;40917;;0;452.3;0.01;1018.39;0.02;0;0;12;249;213
2703007;270300;Ibateguara;AL;NE;2019;15616;;358.38;209.3;0.01;227.3;0.01;0;0;4;98;115
2703106;270310;Igaci;AL;NE;2019;25631;;0;291.29;0.01;1924.67;0.08;0;0;7;132;371
2703205;270320;Igreja Nova;AL;NE;2019;24499;;572.66;234.77;0.01;597.83;0.02;0;0;9;198;197
2703304;270330;Inhapi;AL;NE;2019;18385;;472.29;217.65;0.01;3052.12;0.17;144173.67;7.84;11;91;774
2703403;270340;Jacaré dos Homens;AL;NE;2019;5253;;0;155.44;0.03;2948.27;0.56;0;0;16;149;307
2703502;270350;Jacuípe;AL;NE;2019;7021;7021;209.94;138.43;0.02;105.32;0.02;0;0;0;0;209
2703601;270360;Japaratinga;AL;NE;2019;8361;;241.72;136.21;0.02;192.6;0.02;0;0;1;15;187
2703700;270370;Jaramataia;AL;NE;2019;5770;5770;0;40.66;0.01;358.73;0.06;0;0;29;377;480
2703759;270375;Jequiá da Praia;AL;NE;2019;;;;;0;;0;;0;;;
2703809;270380;Joaquim Gomes;AL;NE;2019;23993;;654.48;357.55;0.01;332.37;0.01;0;0;10;215;1170
2703908;270390;Jundiá;AL;NE;2019;4155;;380.53;83.17;0.02;71.9;0.02;0;0;0;0;44
2704005;270400;Junqueiro;AL;NE;2019;24727;;1291.05;831.01;0.03;1052.21;0.04;0;0;7;123;100
2704104;270410;Lagoa da Canoa;AL;NE;2019;17852;;0;277.75;0.02;155.07;0.01;0;0;12;249;212
2704203;270420;Limoeiro de Anadia;AL;NE;2019;;;;;0;;0;;0;;;
2704302;270430;Maceió;AL;NE;2019;1018948;1018948;69793.8;33351.2;0.03;45376.08;0.04;0;0;302;1827;53726
2704401;270440;Major Isidoro;AL;NE;2019;19804;;0;238.96;0.01;2997.17;0.15;0;0;37;346;581
2704500;270450;Maragogi;AL;NE;2019;32704;32704;668.03;511.5;0.02;811.74;0.02;0;0;4;42;2062
2704609;270460;Maravilha;AL;NE;2019;9163;;0;155.91;0.02;1645.49;0.18;0;0;23;237;314
2704708;270470;Marechal Deodoro;AL;NE;2019;51901;51901;11788.64;4715.45;0.09;3372.41;0.06;0;0;1;10;7754
2704807;270480;Maribondo;AL;NE;2019;13264;;0;230.74;0.02;348.89;0.03;0;0;37;552;2008
2704906;270490;Mar Vermelho;AL;NE;2019;3514;;75.44;57.85;0.02;62.33;0.02;0;0;12;176;789
2705002;270500;Mata Grande;AL;NE;2019;25216;;0;548.37;0.02;2496.79;0.1;193279.8;7.66;38;556;1275
2705101;270510;Matriz de Camaragibe;AL;NE;2019;24642;;358.97;267.35;0.01;231.63;0.01;0;0;0;0;302
2705200;270520;Messias;AL;NE;2019;17856;;826.22;359.96;0.02;611.56;0.03;0;0;3;34;257
2705309;270530;Minador do Negrão;AL;NE;2019;5329;;0;62.15;0.01;139.43;0.03;0;0;9;398;1087
2705408;270540;Monteirópolis;AL;NE;2019;7159;;0;135.56;0.02;1075.76;0.15;0;0;28;377;165
2705507;270550;Murici;AL;NE;2019;28236;;1307.58;421.85;0.01;1107.46;0.04;287460.36;10.18;7;188;316
2705606;270560;Novo Lino;AL;NE;2019;12690;;380.18;166.32;0.01;354.28;0.03;0;0;4;169;437
2705705;270570;Olho d Água das Flores;AL;NE;2019;21688;;0;606.02;0.03;5729.85;0.26;0;0;34;411;638
2705804;270580;Olho d Água do Casado;AL;NE;2019;9373;;1027.79;697.62;0.07;777.41;0.08;0;0;12;97;802
2705903;270590;Olho d Água Grande;AL;NE;2019;5123;;0;64.91;0.01;133.53;0.03;0;0;12;249;41
2706000;270600;Olivença;AL;NE;2019;11624;;0;144.39;0.01;717.24;0.06;0;0;30;380;155
2706109;270610;Ouro Branco;AL;NE;2019;11496;;0;75.64;0.01;1023.13;0.09;0;0;24;294;440
2706208;270620;Palestina;AL;NE;2019;5011;;0;107.55;0.02;717.51;0.14;0;0;31;434;165
2706307;270630;Palmeira dos Índios;AL;NE;2019;73218;73218;0;2181.43;0.03;7627.62;0.1;1506163.25;20.57;41;561;24389
